hour_of_day,day_of_week,region_code,source_ip_risk,request_count_5m,request_count_1h,principal_type,key_sensitivity,historical_access_rate,failed_auth_ratio,identity_mismatch,unusual_time,region_risk,request_frequency,possibility_of_fraud
5,0,0,0.07975995677480895,1,12,0,0.22062805960258267,0.5815128634297883,0.10283934633209224,0.00014739619,0.99406445,0.00015843169,0.011216021,0.0024641214
8,0,1,0.1509175395325223,1,11,0,0.22654157228180805,0.5949311464524649,0.08235695449245554,1.4777551e-07,0.99997085,2.957014e-07,0.010698027,9.534756e-06
5,6,0,0.3676701820683466,7,50,2,0.4890036251121389,0.9841751495237862,0.07143722714664177,1.0,1.0,1.0,0.25786686,1.0
17,5,0,0.17396609343362682,2,9,0,0.5329304479185536,0.7131149504567834,0.15616628967281618,2.711632e-23,1.0,7.1108144e-22,1.2823837e-06,5.065926e-20
18,0,0,0.16246365280849032,0,10,0,0.38848875885928624,0.9326403404562836,0.03837275583267416,4.0314726e-28,1.0,4.7710887e-26,1.0681112e-10,6.097412e-24
20,3,0,0.16962195478452743,2,13,0,0.2959493999087982,0.7700218040411447,0.02201935300991293,8.164554e-26,1.0,3.0282063e-24,1.7838768e-07,5.8352453e-22
14,4,0,0.10585878591470292,2,16,0,0.4343742624945929,0.8668135034659259,0.03166089207896375,2.3455212e-13,1.0,1.1919857e-12,0.0016811651,2.0325906e-10
6,0,0,0.08108425723187486,4,13,0,0.47867622533683357,0.953505028540069,0.14593206732680422,0.72615117,0.9995579,0.77369905,0.9976072,0.95209336
14,1,0,0.07335385728173356,5,13,0,0.47403080850282386,0.32002717789710844,0.039996903846599645,6.725844e-09,1.0,1.463427e-08,0.9660535,5.875072e-07
17,1,0,0.14578956134656934,2,16,1,0.4026024816627033,0.6238472118545862,0.06190198551822282,5.674026e-19,1.0,7.175682e-18,4.3371703e-05,1.5381143e-15
19,4,0,0.20062592347722366,3,8,0,0.33396913660216965,0.7865565022008201,0.016079795196918486,1.556759e-26,1.0,7.6985024e-25,6.33186e-07,5.42752e-23
4,1,2,0.2360648123828022,12,61,2,0.5242506420734283,0.7110870592502022,0.5108688275635017,1.0,1.0,1.0,0.99999857,1.0
1,0,0,0.25429803655129574,1,13,0,0.5043185830291537,0.5385866725028444,0.0879721504769071,0.4927671,0.9764917,0.48595583,0.0060248924,0.42319638
13,4,0,0.025795393177375097,1,14,0,0.5475208817944464,0.7436783867572654,0.013968899260242883,7.975923e-15,1.0,6.0707177e-14,6.0698392e-05,6.829418e-12
21,0,2,0.10308591280835115,15,53,2,0.5691676543711349,0.6950045468133543,0.04092391180500953,0.9999999,1.0,1.0,1.0,1.0
13,6,0,0.34636512294110844,4,15,0,0.4225463245725587,0.8790351586464924,0.0026825435609358853,1.4755575e-08,0.99999994,3.7765375e-08,0.8501676,2.7343524e-06
23,4,4,0.8446425115701244,15,135,1,0.7436521195901782,0.14392199109276857,0.9732963242754711,1.0,1.0,1.0,0.001102652,1.0
3,4,3,0.8599710867522857,26,121,1,0.8219259530226867,0.3708406297593305,0.6809355135990868,1.0,1.0,1.0,1.0,1.0
9,0,0,0.3006823765571878,0,12,0,0.207566586989682,0.9100256821734578,0.04348732739011879,2.9112223e-11,0.999995,1.125715e-10,5.541897e-05,4.6294386e-09
20,1,0,0.16112671539547266,5,12,1,0.45443462764321413,0.5708910647606048,0.0273116655004403,2.7894725e-22,1.0,9.020759e-21,0.0031051566,6.5531233e-19
